name,rating,location-street,location-lat,location-long
Elemental Coffee Roasters,4.5,815 N Hudson Ave,35.475857,-97.519417
All About Cha,4.5,7300 N Western Ave,35.5457551636877,-97.529529027485
Junction Coffee,5.0,null,35.4675252478404,-97.5164705153442
Cuppies and Joe,4.0,727 NW 23rd St,35.493573,-97.525252
Vintage Coffee,4.5,1101 NW 49th St,35.521618,-97.530113
LEAF + BEAN,4.5,2901 NW 36th St,35.5079386124757,-97.566837832025
Leaf + Bean,5.0,321 N Oklahoma Ave,35.4699859768152,-97.5105594098568
Teapioca Lounge,4.5,1101 NW 23rd St,35.4935352722143,-97.5303775817156
Nourished Food Bar,5.0,131 Dean A Mcgee Ave,35.471175,-97.51606
The Red Cup,4.0,3122 N Classen Blvd,35.50141,-97.5335
Urban Teahouse,4.5,7518 N May Ave,35.546947,-97.56519
Coffee Slingers Roasters,3.5,1015 N Broadway Ave,35.477645,-97.514511
District House,4.0,1755 NW 16th St,35.4859942,-97.5404122
Clarity Coffee,4.5,431 W Main St.,35.4679339,-97.5200935
Cafe Condesa,4.5,300 Park Ave,35.4684308839306,-97.5182858953743
The Beatnix Cafe,4.0,136 NW 13th St,35.4822464,-97.5151367
Aravalli,4.0,333 W Sheridan Ave,35.4664411,-97.518575
Cafe Bella Espresso Tea Bar & Bistro,4.0,9018 S Pennsylvania Ave,35.3760479,-97.5477051
The Blue Bean Coffee Company,4.5,13316 S Western Ave,35.3355789,-97.5289688
Starbucks,3.5,200 S Oklahoma Ave,35.4639672022854,-97.5098636516448
Joe's Addiction,4.5,1806 SE 59th St,35.4061546,-97.4799728
Starbucks,3.0,7203 SE 29th St,35.4354605427923,-97.3998547954177
All About Cha Stylish Coffee & Tea,4.0,13921 N May,35.6120796,-97.5673981
Starbucks,3.5,1506 W I 240 Service Rd,35.3909851,-97.545625
Starbucks,2.0,5920 SW 4th Ter,35.4608782900852,-97.62047769947169
Caf Oasis,4.0,1135 NW 25th St,35.4954834,-97.5307236
Starbucks,4.0,3616 N May Ave,35.5071546882391,-97.5656151026487
Starbucks,3.5,3301 NW Expy,35.5306895558768,-97.5750303268433
Starbucks,3.5,535 NW 9th St,35.4773713169215,-97.5224346192773
Dirty Water Coffee Company,5.0,8004 N Rockwell Ave,35.5523682,-97.6382523
Buzz the-Coffee & Cafe,3.0,101 N Broadway Ave,35.46793,-97.51476
Shimmers,4.5,5116 N MacArthur,35.5225347,-97.6189319
Starbucks,4.0,5800 W Memorial Rd,35.608223,-97.619583
Sno Boba Tea Cafe,3.0,861 SW 119th St,35.3489151,-97.5290604
Starbucks,3.5,2116 W Memorial Rd,35.60703637946,-97.549956461158
Pho T & N,4.0,13325 N MacArthur Blvd,35.6047707,-97.6212463
Dunkin' Donuts,4.0,4400 NW 39th St,35.51108,-97.5991
Starbucks,3.5,5400 N May Ave,35.52438,-97.56434
Caffeina's Cafe & Dessert Bar,2.0,2-10 N Broadway Ave,35.4666680616824,-97.5143491119223
Primacafe,1.0,45 NE 51st St,35.5234794616699,-97.5102233886719
Donut Therapy,4.0,7101 NW 150th St,35.6238017049157,-97.6392900198698
The Underground,4.0,1621 S Douglas Blvd,35.4485944,-97.3711965
Dunkin' Donuts,4.0,3612 N May Ave,35.5067792,-97.5655063
Java Dave's Coffee,2.5,2 NE 9th St,35.4767379760742,-97.5114593505859
Wild Hero Coffee Co.,4.5,331 N Mustang Rd,35.3938331001305,-97.7246499806643
Aloha Shave Ice & Coffee Shoppe,5.0,8000 NW 39th Expy,35.514548,-97.654757
Starbucks,3.0,7550 N May Ave,35.547451,-97.564995
Perk Place,4.5,1649 W 33rd St,35.624244,-97.504393
The Coffee Bean,2.5,Will Rogers Airport,35.395348,-97.596634
Starbucks,4.0,6430 Avondale Dr,35.5382591,-97.5309543
Starbucks,2.5,8500 N Rockwell Ave,35.55703,-97.63791
Credo House,4.5,109 NW 142nd St,35.6152063958789,-97.5153350830078
North May Donuts & Kolaches,3.0,10712 N May Ave,35.5779717117548,-97.5671352446079
Yottabite,1.0,10321 West Reno Ave,35.4644661,-97.6985474
Evoke,4.0,103 S Broadway,35.6541954420414,-97.4816337535694
All About Cha Stylish Coffee & Tea,4.0,3272 S Broadway,35.6240232941495,-97.4837669150247
Aspen Coffee Company,4.5,180 W 15th St,35.6381645,-97.4870834
Drew's Tobacco World,4.5,1514 SE 44th St Ste D,35.4203199,-97.48493
Catherines's Corner,2.0,4200 W Memorial Rd,35.6067979778899,-97.5985211133957
Grounds 4 Compassion,5.0,6600 NW 36th St,35.5075454711914,-97.6280517578125
Coffee Tree,4.5,784 E Danforth Rd,35.6672242283821,-97.4699413776398
Boba Cafe,4.5,717 S I-35 Service Rd,35.3302424879646,-97.490568048961
Starbucks,3.5,620 SW 19th St,35.3193010123307,-97.4958622455597
OnCue Express #108,5.0,6200 NW  Expy,35.5512759,-97.6232696
Ozarka Water,5.0,729 SW 3rd St,35.46268,-97.525077
Starbucks,4.5,2929 E Memorial Rd,35.6094970703125,-97.4614181518555
Perks at INTEGRIS Baptist Medical Center,5.0,3300 Nw Expy,35.5179,-97.57386
Starbucks,3.5,5836 NW Expy,35.5109583861813,-97.637225
Gray Owl Coffee,4.5,223 E Gray St,35.223156,-97.441704
Compass Coffeehouse,3.0,900 NW 150th St,35.6233864,-97.5284805
Java Dave's Coffeehouse,3.0,Will Rogers World Airport,35.395348,-97.596634
Starbucks,2.0,1901 NW Expressway St,35.52441,-97.543609
Abbie's Coffee Shoppe,4.0,1101 NW 178th St,35.6531632443302,-97.5318148171359
Teavana,4.5,Penn Square Mall,35.5231514,-97.5460968
Higher Grounds Coffee Shoppe,4.0,5814 NW 63rd St,35.53629,-97.6170999
Teaoli,5.0,1389 E 15th St,35.6384048,-97.461792
Starbucks,3.0,1501 Garth Brooks Blvd,35.4847488,-97.7593079
LT'S Famous Gourmet Deli,2.0,120 N Robinson Ave,35.4679257918377,-97.5164245294065
Starbucks,4.5,1001 E 2nd St,35.6531372070312,-97.4665069580078
Wake Up Express,2.0,7100 Terminal Dr,35.395348,-97.596634
Cafe De Taipei,4.0,603 S Broadway,35.6489020586014,-97.4822252243757
Dunkin' Donuts,4.0,3201 S Broadway,35.6249831231537,-97.4861741065979
Blessed Grounds,5.0,16000 SE 29th  St,35.4352035522461,-97.2472305297852
Boom-a-Rang,3.0,1290 N Mustang Rd,35.4031930076352,-97.7232629433274
Starbucks,3.5,120 Northeast 27th St,35.362629,-97.493561
Crimson & Whipped Cream,4.0,Campus Corner,35.2130249887705,-97.4448727816343
Cool Beans Coffee,4.5,1230 Alameda St,35.2183377742767,-97.4221920222044
Berri Licious Frozen Yogurt,4.5,15220 N Western Ave,35.6247883290052,-97.531264051795
Java Dave's,4.0,9 S Broadway,35.6548805,-97.4816895
Starbucks,4.5,1489 E 15th St,35.6388061896156,-97.4610541012933
Michelangelo's Coffee & Wine Bar,4.0,207 E Main St,35.2217522,-97.4417419
Tea Z Bar,4.5,1808 W Lindsey St,35.2035102844238,-97.4685592651367
Starbucks,3.5,1509 S Broadway,35.638004,-97.483978
Dunkin' Donuts,3.0,1600 S Sunnylane Rd,35.44945,-97.44114
Starbucks,4.0,3750 W Robinson St,35.2318537586506,-97.4961950695356
Tao Cafe,3.5,331 S Blackwelder,35.6537094,-97.4656601
Teaoli,4.5,3720 W Robinson St,35.231708088398,-97.4960285425186
Old School Bagel Cafe,4.0,775 W Covell Rd,35.682495,-97.493553
Blenders Juice & Coffee Bar,5.0,1200 W Covell Rd,35.6818161,-97.500061
Mariposa Coffee Roastery,5.0,1120 Garver St,35.217247,-97.458572
Ron's Hamburger & Chili,4.0,216 S Santa Fe Ave,35.6537563736011,-97.5120143363831
Cowgirl Coffee,4.0,121 E Waterloo Rd,35.7254087179899,-97.4778619408607
Starbucks,4.0,1601 NW 24th Ave,35.2393112478376,-97.4827262860579
Starbucks,2.5,820 W Main St,35.2181205749512,-97.455451965332
Second Wind,4.0,564 Buchanan,35.2124126269573,-97.4448689601725
Old School Bagel Cafe,3.5,710 W Main St,35.2178421020508,-97.4538345336914
Tea Cafe On the Corner,3.0,788 Asp Ave,35.211731,-97.4441223
Starbucks,4.5,100 N University Dr,35.6558229981563,-97.4714970588684
Good Morning Donuts,4.0,321 S Cemetery Rd,35.4629893133493,-97.7607912018548
Starbucks,3.0,225 W Boyd St,35.2114601,-97.4434662
Dunkin' Donuts,3.0,null,35.6248486522583,-97.4867140103779
International Pantry,4.0,1618 W Lindsey St,35.2037951,-97.4655575
Starbucks,2.0,900 Asp Ave,35.2096558,-97.4438553
Rick's Cafe,3.0,1544 W State Hwy 9,35.1825676,-97.499649
Boom-a-rang Diner,3.0,517 N Porter Ave,35.226456,-97.440613
Twelve Corners Cafe,5.0,15551 E Etowah Rd,35.1455616809416,-97.2129279876622
Amy's Coffee Cup Cafe',5.0,104 N Main St,35.6618576,-97.1957245
